Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-2247.372	-2906.858	659.4859	1.280802	0.6766475	1.743301
6	-2238.078	-2897.45	659.372	1.443328	0.7896575	1.607174
12	-2245.464	-2904.585	659.1205	1.354478	0.8627859	1.788678
18	-2247.44	-2906.549	659.1097	1.398776	0.8627859	1.765346
24	-2247.177	-2905.02	657.843	1.043646	0.8416686	2.822905
30	-2245.191	-2902.411	657.2197	0.9993126	0.8733307	3.201951
36	-2265.526	-2923.063	657.5364	0.9663032	0.6417477	3.203204
42	-2255.263	-2912.694	657.4312	0.9343421	0.6691647	3.262202
48	-2259.026	-2916.707	657.6815	1.126916	0.8695103	2.851359
54	-2252.603	-2910.746	658.143	0.9485942	0.7769931	2.744082
60	-2262.871	-2921.036	658.1644	1.185095	0.7553047	2.601757
66	-2250.441	-2908.685	658.2436	1.149219	0.9950834	2.408538
72	-2252.583	-2910.842	658.2588	1.074995	0.8558668	2.538144
78	-2260.053	-2917.812	657.7591	1.148349	0.8293976	2.818749
84	-2280.825	-2938.712	657.8872	1.103438	0.6791235	2.880842
90	-2286.278	-2944.339	658.061	1.141015	0.7928095	2.664766
96	-2276.696	-2936.09	659.3947	1.302388	0.6150719	1.850421
102	-2266.407	-2923.405	656.9977	0.9709503	0.8212857	3.384243
108	-2256.714	-2914.789	658.0748	0.9462922	0.7778219	2.786526
114	-2245.696	-2903.722	658.0254	0.9158427	0.6550509	2.930275
120	-2243.341	-2900.966	657.6245	0.9934444	0.6550509	3.123919
126	-2233.675	-2891.648	657.9737	1.087687	0.9175895	2.66493
132	-2213.16	-2871.53	658.3708	1.09875	0.8847692	2.433096
138	-2231.354	-2890.485	659.131	1.186152	0.5641859	2.153748
144	-2230.254	-2889.161	658.9062	1.195319	0.7046685	2.166044
150	-2247.404	-2906.774	659.3699	1.261483	0.7891648	1.738751
156	-2245.788	-2904.828	659.0403	1.118453	0.6943183	2.137552
162	-2244.413	-2902.493	658.0804	1.159698	0.9007078	2.565672
168	-2245.524	-2904.462	658.9385	1.235155	0.8960838	1.969081
174	-2258.796	-2916.695	657.8987	0.9997229	0.7902991	2.852001
180	-2252.815	-2911.03	658.215	1.003301	0.585025	2.822783
186	-2263.289	-2921.894	658.6048	1.062569	0.7368417	2.417581
192	-2249.31	-2908.276	658.9663	1.229232	0.899742	1.9517
